full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70051,70051,11413,36,36,5,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9509,9509,14700,1,1,1,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,38859,38859,6177,39,39,5,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1610,1610,2522,3,3,3,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,48679,48679,4256,33,33,4,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62091,62091,6202,10,10,1,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35603,35603,2931,3,3,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28473,28473,2980,3,3,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,909,909,1216,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22658,22658,3260,10,10,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,22950,22950,2683,13,13,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3242,3242,3827,-2,-2,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2311,2311,3533,2,2,2,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8259,8259,1954,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11618,11618,1983,9,9,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3455,3455,1927,5,5,0,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9739,9739,1214,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1367,1367,2697,3,3,0,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9505,9505,726,1,1,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9020,9020,694,3,3,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2737,2737,2422,3,3,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3870,3870,790,1,1,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5982,5982,561,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,619,619,1310,0,0,1,https://github.com/huangserva/claude-code-cli
wanshuiyin/Auto-claude-code-research-in-sleep,13056,13056,1180,10,10,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
OneRedOak/claude-code-workflows,3876,3876,565,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5348,5348,703,0,0,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2918,2918,558,0,0,0,https://github.com/nicedreamzapp/claude-code-local
affaan-m/ECC,226559,226559,34650,74,74,13,https://github.com/affaan-m/ECC
anthropics/claude-code-security-review,5478,5478,583,0,0,0,https://github.com/anthropics/claude-code-security-review
zebbern/claude-code-guide,4366,4366,443,1,1,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3670,3670,478,1,1,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1659,1659,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
rohitg00/awesome-claude-code-toolkit,2262,2262,772,1,1,2,https://github.com/rohitg00/awesome-claude-code-toolkit
disler/claude-code-hooks-mastery,3814,3814,628,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8382,8382,431,5,5,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,918,918,1098,0,0,-1,https://github.com/777genius/claude-code-source-code
Windy3f3f3f3f/how-claude-code-works,3046,3046,658,9,9,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2403,2403,678,2,2,0,https://github.com/alejandrobalderas/claude-code-from-source
fuergaosi233/claude-code-proxy,2711,2711,404,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3217,3217,372,0,0,0,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2722,2722,403,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5257,5257,198,0,0,0,https://github.com/kodu-ai/claude-coder
